施策,SNS,,Phase 0 (1-2月),Phase 1 (3-5月),Phase 2 (6-8月),Phase 3 (9-12月),Phase 4 (1-3月),年間合計,KPI
広告配信,IG,予算,¥76000,¥2500000,¥2500000,¥2240000,¥2200000,¥9516000,CPM: ¥300
,,リーチ,231000,7576000,7576000,6788000,6667000,28838000,CTR: 0.1%
,TT,予算,¥45600,¥1500000,¥1500000,¥1344000,¥1320000,¥5709600,CPM: ¥300
,,リーチ,138000,4546000,4546000,4073000,4000000,17303000,CTR: 0.1%
,X,予算,¥30400,¥1000000,¥1000000,¥896000,¥880000,¥3806400,CPM: ¥300
,,リーチ,92000,3030000,3030000,2715000,2667000,11534000,CTR: 0.1%
ペイド（ライフスタイル系）,IG,予算,-,¥2400000,¥2080000,¥2400000,¥2080000,¥8960000,FW単価: ¥3
,,投稿,-,3,2,3,2,10,平均FW: 300000
,,リーチ,-,360000,240000,360000,240000,1200000,ENG率: 1.0%
ペイド（大人レビュー系）,IG,予算,-,¥1160000,¥840000,¥1160000,¥840000,¥4000000,FW単価: ¥3
,,投稿,-,4,3,4,3,14,平均FW: 100000
,,リーチ,-,160000,120000,160000,120000,560000,ENG率: 1.0%
SNS運用,IG,予算,-,¥600000,¥600000,¥600000,¥600000,¥2400000,月額: ¥200000
,,リーチ,-,※運用次第,※運用次第,※運用次第,※運用次第,※変動,オーガニック
,X,予算,-,¥600000,¥600000,¥600000,¥600000,¥2400000,月額: ¥200000
,,リーチ,-,※運用次第,※運用次第,※運用次第,※運用次第,※変動,オーガニック
メガインフルエンサー,IG,予算,-,-,-,¥2400000,-,¥2400000,FW単価: ¥5
,,投稿,-,-,-,1,-,1,FW: 480000
,,リーチ,-,-,-,192000,-,192000,imp率: 40%
イラスト系,IG,予算,-,-,¥400000,-,-,¥400000,FW単価: ¥3
,,投稿,-,-,2,-,-,2,平均FW: 100000
,,リーチ,-,-,80000,-,-,80000,imp率: 40%
大量素材生成,IG,予算,¥8000,¥50000,¥50000,¥50000,¥50000,¥208000,単価: ¥5000
,,投稿,2,13,13,13,13,54,/投稿
,TT,予算,¥4800,¥30000,¥30000,¥30000,¥30000,¥124800,単価: ¥5000
,,投稿,1,7,7,7,7,29,/投稿
,X,予算,¥3200,¥20000,¥20000,¥20000,¥20000,¥83200,単価: ¥5000
,,投稿,0,5,5,5,5,20,/投稿
,,,,,,,,
Phase合計,,予算,¥168000,¥9860000,¥9620000,¥11740000,¥8620000,¥40008000,
,,投稿,3,32,32,33,30,130,
,,リーチ,461000,15672000,15592000,14288000,13694000,59707000,
,,,,,,,,
SNS別サマリー,,,,,,,,
SNS,予算,構成比,リーチ,投稿数,,,,
Instagram,¥27484000,68.7%,30870000,81,,,,
TikTok,¥5834400,14.6%,17303000,29,,,,
X,¥6689600,16.7%,11534000,20,,,,
合計,¥40008000,100%,59707000,130,,,,
